,text,spam
700,"Subject: on line gaming report  special online issue  investment news and indepth reports  high growth investing  online gaming report : ggts  company ceo interviewsemerging technologies new trends to watchindustry statistics  are americans and the rest of the world becoming  addicted to online gaming ? analysts predict over  $ 14 billion dollars a year will go to online casinos .  gaming stocks may be set to explode !  read the full report click here !  includes inside :  company profile : gaming transactions inc .  this publicly traded company looks like it has what it takes to become  a big player in the online gambling world . could it be the next payoff  for investors ? . . . more  the online gambling market  given the rate at which this market is expanding across the planet , the  outlook for the online gaming industry looks very positive . do the  numbers add up for investors ? . . . more  how big could it get ?  online gaming has become a seriously big business , with shares in some  companies increasing by up to eight times inside a year . . . . more  pick of the month : ggts  gaming transactions operates in one of the fastest growing industries  around and has an experienced management team . early investors , who get  in before the institutional investors , could make a fortune . . . . more  read the full report click here !  investors are making huge gains as the world bets online .  could gaming transactions inc . ( gtts ) be the next stock to rock ?  recently ,  we read an article in the economist that highlighted online gaming and  how it has become a socially acceptable form of entertainment . over the  next few days , as we thought about what sort of impact this trend could  have , we started to notice that online gambling was being discussed all  over the media - in newspapers , online and on television . it became  obvious to us that more and more people were jumping on the internet to  bet on games . we also came across some staggering statistics .  merrill lynch , for example , has predicted that gambling has the  potential to account for a full 1 % of global economic activity ! another  source , ecommercetimes . com , recently reported that the scope of this  business is so enormous that some have even claimed that it is the  single most important factor in the growth of e - commerce . the online  gaming industry , in other words , appears to be booming , and it may be  an ideal time to is time to invest .  we decided to  find out who the key players were in the business . after speaking with  a number of industry insiders , the trail led us to an emerging ,  publicly traded company called gaming transactions inc . ( ggts ) . after a  close look at ggts , we decided that this company could produce huge returns on investment in the upcoming months .  although  ggts is a new company , it has some surprisingly experienced players at  the helm an uncommon thing to find in an industry only ten years old .  the company has come out with online versions of the addictive game keno .  and its management team was smart enough to secure the rights to the  keno . com website , which , if youre marketing keno , is as good as it  gets . keno has the widest spread for the house of any mainstream  gambling game . ggts is also about to launch a suite of other online  gambling games , including poker and sports - book betting . once it offers  these popular games , and given that it already has keno . com online , the  company could bring in great revenues , attracting a lot of attention in  the investment community and driving up its stock price .  after a successful north american launch ,  gaming transactions inc . ( gtts ) has translated its games into chinese  and is about to hit asia . this initiative looks like a wise business  decision : many analysis anticipate that china will be the biggest  source of online gambling revenue by 2007 , so the company could be poised for massive expansion in terms of both profits and global reach .  what  does all this tell us ? a brand new company , a popular , well - known game ,  one of the biggest spreads for the house , a growing market , experienced  management , and a stock price that is trading under a dollar it adds up to the potential for huge gains for early investors . if youre interested in more information on the market and gaming transactions inc . , click here to read a free ten - page report . . .  to join market movers mailings http : / / ggtsstock . com to find out more .  first source data inc .  4535 west sahara ave # 217  las vegas nevada 89102  disclosure and disclaimer  investment news indepth reports ( hereinafter inir ) , operated by first  source data , inc . ( hereinafter fsd ) , is a business news publication  of regular and general circulation . this issue is not a research  report , does not purport to provide an analysis of any companys  financial position , and is not in any way to be construed as an offer  or solicitation to buy or sell any security . gaming transactions inc .  ( hereinafter ggts ) is the featured company . fsd managed the  publishing and distribution of this publication . the information  contained herein is being republished in reliance on statements made by  ggts management , and publicly disseminated information issued by third  parties regarding ggts and the online gaming industry , which are  presumed to be reliable , but neither fsd nor its editors , employees , or  agents accept any responsibility for the accuracy of such statements or  information , or the contents herein which are derived therefrom .  readers should independently verify all statements made in this  advertisement .  fsd has received compensation for the production and distribution of  this newsletter . the compensation received is in the amount of one  hundred and twenty eight thousand dollars and was received from  accelerated capital limited ( hereinafter acl ) for this advertising  effort . acl is a shareholder of ggts . because fsd received compensation  for its services , there is an inherent conflict of interest in the  statements and opinions contained in this newsletter and such  statements and opinions cannot be considered independent .  internet - based companies , and those involving online gaming in  particular , are almost always very high risk investments , and investors  should be aware that they could potentially lose any investment made in  such companies in its entirety . we strongly encourage readers to  undertake their own due diligence to decide the best course of action  in connection with any investment decision that they might make . any  investment should be made only after consulting with a qualified  investment advisor .  media matrix 7025 county rd . 46 a dtel 071 # 349 lake mary , fl 32746 this e - mail message is an advertisement and / or solicitation .",1
701,"Subject: this stock rumored to fly  special situation alerts hot pick of the year  environmental remediation holding corp . ( otcbb : erhc )  urgent buy : $ . 17  sell target : $ 1 . 25  investor alert : erhc enters into joint - venture license agreement  with schlumberger ltd ( nyse : slb , $ 60 ) and baker hughes , inc .  ( nyse : bhi , $ 40 ) for seismic data on some of the richest offshore  oil blocks where erhc controls a huge working interest !  investors - we have found the hidden gem : ( otcbb : erhc ) !  erhc ' s joint - venture with schlumberger and baker hughes puts them in  world - class company with these leaders in oil exploration and reservoir  imaging services . the involvement of slb and bhi reinforces the  $ multi - billion dollar value that has been placed in this offshore  drilling haven . erhc ' s goal is to maximize shareholder value from  existing contractual rights , making them a significant player in  this region .  the big money rolls in :  the seismic data from this joint - venture is being made available for  further involvement by the largest oil companies in the world over  the next 2 weeks ! !  bidding wars have already developed between major oil companies suchas :  shell , chevron / texaco , conoco , exxon / mobil , philips , and marathon who  are willing to pay $ hundreds of millions to drill in these zones and  partner with erhc .  stock set to explode on earnings boom :  erhc ' s exclusive right to participate in exploration and production  along with oil industry giants could be worth up to $ fifty million  as these oil blocks are adjacent to billion barrel producing regions !  special situation alerts ' newsletter offers valuable research that  builds your wealth . we target serious gains for serious investors  with a 700 % investment return on erhc .  disclaimer : certain statements contained in this newsletter may be  forward - looking statements within the meaning of the private securities  litigation reform act of 1995 . these statements may be identified by  such terms as "" expect "" , "" believe "" , "" may "" , "" will "" , and "" intend "" or  similar terms . we are not a registered investment advisor or a broker  dealer . this is not an offer to buy or sell securities . no  recommendation that the securities of the companies profiled should be  purchased , sold or held by individuals or entities that learn of the  profiled companies . this is an independent electronic publication that  was paid $ 10 , 000 by a third party for the electronic dissemination of  this company information . be advised that investments in companies  profiled are considered to be high - risk and use of the information  provided is for reading purposes only . if anyone decides to act as an  investor they are advised not to invest without the proper advisement  from an attorney or a registered financial broker , if any party decides  to participate as an investor then it will be that investor ' s sole risk .  be advised that the purchase of such high - risk securities may resultin  the loss of some or all of the investment . the publisher of this  newsletter makes no warranties or guarantees as to the accuracy or the  completeness of the disclosure . investors should not rely solely on the  information presented . rather , investors should use the information  provided in this newsletter as a starting point for doing additional  independent research on the profiled companies in order to allow the  investor to form their own opinion regarding investing in the profiled  companies . factual statements made about the profiled companies are made  as of the date stated and are subject to change without notice .  investing in micro - cap securities is highly speculative and carries an  extremely high degree of risk .",1
702,"Subject: we are on the look - out for new partners such as you and your company  we are on the look - out  for new partners such as you and your company  whether you want to buy or sell , bluecom danmark a / s is worth closer acquaintance  bluecom danmark a / s is a worldwide it - distributor of pc - systems and add - ons .  since it ' s foundation in 1992 the company has enjoyed constant growth , and is  always on the look out for new partners to cooperate with .  we have found you and your company through our internet research , and hope to  establish a fruitful cooperation with you in the future . however , we apologies  if you are not the correct person to contact within your company , and kindly  request that you forward this message to that person . further , if this letter  is of no interest to you and your company , please press the "" unsubscribe "" button  in this mail .  the easiest way to start cooperating with bluecom danmark a / s is through our  user - friendly website . if any of the features detailed below are of interest  to your company , please click on the link and our cooperation has already begun .  customer :  would you like the best prices on the market , plus 24 - hour delivery and an  incredible 30 days credit ?  then maybe you would like to become our partner or customer .  we are able to offer the absolute best prices on the market because of our large - scale  procurement of a small number of specific products . our range includes products  from ibm , compaq and hp options such as notebooks , pcs and monitors . we also  offer pc parts such as ram , cpus , vga cards , motherboards , wireless products ,  original mobile phones and accessories , hard disks , dvd , cd - rw , tft screens ,  from the following top companies : asus , ecs , abit , creative , intel , amd , u . s .  robotics , lg , plextor , belkin , benq , samsung , ibm software and many more .  besides delivering at the very best prices , we offer real - time updated prices  through our customer lounge , 24 - hour delivery all over europe and 30 days credit .  please click here : customers  lounge  supplier :  are you a future supplier to bluecom danmark a / s ?  bluecom danmark a / s keeps it suppliers updated on products in demand , the specific  volumes on request , and of course the target prices . if you would like to see  which products and target prices we are interested in right now ,  please click here : suppliers  lounge  everybody :  would you like to receive it news ?  bluecom danmark a / s offers it news for free . we produce a newsletter with  articles covering the changes in our industry , new products , tariff rates and  general trends in the it - market . the newsletter also contains information about  bluecom danmark a / s and the development of its business partners .  please click here : it - news  would you like more information about bluecom danmark a / s ?  for further information please do not hesitate to contact bluecom danmark a / s .  you can also visit our homepage at : www . bluecom . com  thanks for your time . we look forward to hearing from you .  best regards  jens fournais  managing director  bluecom danmark a / s  to unsubscribe from this mailing  list , please click here : unsubscribe  ( you are subscribed with this e - mail address : fork @ spamassassin . taint . org ) ",1
703,"Subject: the man of stteel  hello , welcome to the medzonlin direction e  - online pharmaceutical sho feverfew p .  v escape a  warbler um superfluity vi  wakeless ra semiconscious ci  shriek is  l chastisement i  contender ag  a cringle l  andmanyother .  inhabited with our shop you get -  best pluviometer prlces  excellent yellowness service  fa humidor st shipping  private online orde gestation ring  have a nice day .",1
704,Subject: low price software  http : / / neonate . setupmefree . com / ? a = 3107,1
705,"Subject: 1 - 4 extra inches makes a massive difference  my girlfriend loves the results , but she doesn ' t know what i do . she  thinks  it ' s natural - thomas , ca  i ' ve been using your product for 4 months now . i ' ve increased my  length from 2  to nearly 6 . your product has saved my sex life . - matt , fl  pleasure your partner every time with a bigger , longer , stronger unit  realistic gains quickly  to be a stud press  here  the tatars shouted joyfully as they witnessed this marvelous feat and  rushed forward to assist in the slaughter ; but the boy motioned them all  back  address listed above and  just see site to be gone from the db  the lights from the lanterns dimly showed the way , but it was a gloomy  journey , and they were pleased when a broad streak of light ahead assured  them they were coming to a second landinghere one side of the mountain  had a great hole in it , like the mouth of a cavern , and the stairs stopped  at the near edge of the floor and commenced ascending again at the opposite  edge he did not wish any more bloodshed than was necessary , and knew that  the heaps of unconscious turks around him would soon recover  so he stood alone and faced the enemy , calmly knocking them over as fast as  they came near ",1
706,"Subject: urgent response  dear sir / madam ,  you may be surprised to receive this letter from me , since you don ' t know me personally . i am mrs maria da costa the wife of dr . john da costa , who was recently murdered in the land dispute in zimbabwe , i got your contact through network on line in my search for a reliable and reputable person to handle a very confidential transaction which involves a transfer of a fund to a foreign account and i decided to write you . my late husband was among the zimbabwean rich farmers murdered in cold blood by the agents of the ruling government of president robert mugabe for his alleged support and sympathy for the zimbabwean opposition party controlled by the white minority . before his death he deposited the sum of us $ 15 . 2 million ( fifteen million two hundred thousand us dollars ) to south africa with a security company as if he foresaw the looming danger in zimbabwe .  the money was deposited in a din box as valuables to avoid much demurrage from the security company . this money was embarked from the purchase of new machinery and chemical for farms and establishment of new farms in lesotho and swaziland . the land problem arose when president robert mugabe introduced a new land act that wholly affected the rich white farmers and some few blacks vehemently condemned the "" modus operandi "" adopted by the government .  this resulted to rampant killing and mob action by the war veterans and some political thugs , precisely ; more than fifty - one ( 51 ) people have so far been killed . heads of governments from the west , especially britain and united states of america have voiced their condemnation of mugabe ' s plan , subsequently , south african development community ( s . a . d . c . ) has continuously supported mugabe ' s new land act , it is against this background that i and my  family who are currently residing in south africa have decided to transfer my husband ' s money into a foreign account . as a family , i am saddled with the responsibility of seeking a genuine foreign account , where this money could be transferred without the knowledge of my government who is tactically freezing of our family wealth .  and south africa ' s government seems to be playing along with them . i am faced with the dilemma of investing this money in south africa for fear of encountering the same experience in future since both countries have almost the same political history . more so , the south african foreign exchange policy does not allow such investment hence we are seeking for an "" asylum "" . as a business person whom i would entrust my future and that of my family into his hands , i must let you know that this transaction is 100 % risk free and that the nature of your business does not necessarily matter .  for your assistance , i will offering you 15 % of the total sum , 80 % for my family while 5 % will be mapped out for any expenses we may incur during the course of this transaction . i wish to  invest our part of the money on commercial property based on your advice .  finally , all i demand from you is assurance that you will not do away with this money when it finally gets to your personal or company ' s account in your country .  if this proposal is acceptable by you , please confirm your interest by contacting us on this phone number + 27724263169 or e - mail address mariadacosta _ 2002 @ yahoo . com  best regards ,  mrs maria da costa ( for the family )",1
707,"Subject: perfect logo charset = koi 8 - r "" >  thinking of breathing new life into your business ?  start from revamping its front - end - logo and visuai identity .  loqodentity offers creative custom design of loqos ,  stationery and web - sites . under our careful hand these powerful marketing toois  will brinq a breath of fresh air into your business  and make you stand out among the competitors .  you are just a ciick  away from your future success . ciick here to see the samples of our artwork ,  check our prices and hot offers",1
708,"Subject: viagra - proven step to start something all over again .  looking for a specific medication ? let us know what you need !  there is an applause superior to that of the multitudes : one ' s own .  winning isn ' t everything , it is the only thing .  war is the continuation of politics by other means .  we are most alive when we ' re in love .",1
709,"Subject: you want to submit your website to search engines but do not know how to do it ?  submitting your website in search engines may increase  your online sales dramatically .  if you invested time and money into your website , you  simply must submit your website  online otherwise it wiii be invisible virtuaiiy , which means efforts spent in vain .  lf you want  peopie to know about your website and boost your revenues , the oniy way to do  that is to  make your site visible in places  where people search for information , i . e .  submit your  website in multipie search enqines .  submit your website oniine  and watch visitors stream to your e - business .  best regards ,  leopoldowaiton _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
710,"Subject: antil co . , ltd . ( bangkok )  antil co . , ltd . ( bangkok )  731 7 th p . m . tower asoke - dindaeng , bangkok , 10320 thailand  tel : + 66 2 6429856 - 7 fax : + 66 26429889  t . a . t . licence no . 11 / 3364 website : www . thaihotel 4 u . com  email : info @ thaihotel 4 u . com , antilbkk @ yahoo . com  dear sir / madam ,  this is the warmest greeting from antil co . , ltd . , one of the major tour companies in thailand . we are dedicated to promote thai ' s biggest industry - tourism .  it is our great pleasure to inform you the grand opening of our hotel reservation web site www . thaihotel 4 u . com . we would like to invite you to visit our web site that contains hundreds of hotels ' information . rarely do we have the opportunity to also inform you such an attractive pricing of all hotel bookings on this web site .  working with other agents around the world has been our powerful support for both our growth and our partners ' for a long time . now we are proudly inviting you to be the partner of www . thaihotel 4 u . com and consider our possible cooperation in group bookings . if you are interested in being our local sales in your area , you are also welcome to contact us at info @ thaihotel 4 u . com for further discussion .  we appreciate your kind attention !  yours sincerely ,  rudet khamchan  managing director",1
711,"Subject: how will this affect the reporting agency for each account you cancel .  why consolidate into a larger obligation or declare bankruptcy when you can  legally you ' ve avoided the pangs of starvation  for a time , anyhow , so i can leave you with a clear conscience . without more  ado , he turned the indicator of the traveling machine and mounted into the  air , leaving the turk sitting upon the rocks and staring after him in  comical bewilderment  15 .",1
712,"Subject: [ wm ] ( no subject )  dear our guests ,  explore turkey with astartetours ! !  hotel reservations :  you will find more than 200 hotels all over turkey , which have been carefully selected .  through our reservation system we are able to book more than 1 . 000 hotels arround europe .  tours  hosted programs , sightseeing tours , escorted tours or cruise programs .  we have tours on set dates each year or we can organize special itineraries for the independant traveller or small groups ! !  rent - a - car :  travelling on your own pace in turkey ! we have a range of vehicles on offer to choose from . they may be hired in all major cities .  your car can be made available at the airport or your hotel for collection ! !  visit our web - site ! !  www . astartetours . com  kind regards  astarte tours  p . s . : if you want to unsubscribe , please sent us an e - mail .  this sf . net email is sponsored by : get the new palm tungsten t  handheld . power & color in a compact size !  webmake - talk mailing list  webmake - talk @ lists . sourceforge . net ",1
713,"Subject: innovative and effective design for you !  adqueen is an institute committed  to brand planning and designing for enterprises , providing end to end ad  services , from plan to design ,  and finally press .  - - - - - - - make  maximal use of your marketing fund !  http : / /  www . adqueen . com  service  items :  innovative and effective concepts  and copy for  logo and vi ;  website design and building ;  poster and drawing ;  package of gifts ;  exhibitions and shows ;  ad designing and printing ;  and etc .  ( adqueen caters for your  needs ! ) ",1
714,"Subject: home reps wanted - fortune 500 comp hiring  question ?  do you want a different job ?  do you want to be your own boss ?  do you need extra income ?  do you need to start a new life ?  does your current job seem to go nowhere ?  if you answered yes to these questions , then here is your solution .  we are a fortune 500 company looking for motivated individuals who are  looking  to a substantial income working from home .  thousands of individual are currently do this right now .  so if you are looking to be employed at home , with a career that will  provide you vast opportunities and a substantial income , please fill  out our online information request form here now :  http : / / ter . netblah . com : 27000  to miss out on this opportunity , click here  http : / / ter . netblah . com : 27000 / remove . html",1
715,"Subject: the best possible mortgage  has your mortgage search got you down ?  are you frustrated and confused with all the different terms and quotes ? don ' t  know who is telling you the truth ? we can solve all your problems .  visit our site today and in two minutes you can have us searching thousands of  programs and lenders for you . get the truth , get the facts , get your options  all in one shot . it ' s absolutely free , and you can be done in only two minutes ,  so click right now and put your worries behind you !  [ ryte ^ 3247 ( ^ ( pol : kj ) _ 8 j 7 bjk ]",1
716,"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professional  $ 150 adobe premiere pro 1 . 5  $ 90 corel desiqner 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere eiements  $ 125 corel painter lx  $ 80 adobe iilustrator cs  $ 80 adobe lndesign cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cooi 3 d production studio 1 . 0 . 1  $ 90 alias motion buiider 6 professional  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincereiy ,  alda ",1
